entity_id,state,last_changed
sensor.hapsic_cleansed_inside_temp,66.7400020599365,2026-02-17T09:56:35.138Z
sensor.hapsic_supply_flow,372.944458007812,2026-02-17T09:56:37.782Z
sensor.hapsic_supply_flow,373.5,2026-02-17T09:56:42.788Z
sensor.hapsic_supply_flow,373.833343505859,2026-02-17T09:56:47.791Z
sensor.hapsic_room_average_rh,46.2,2026-02-17T09:56:49.682Z
sensor.hapsic_room_dew_point,46.85,2026-02-17T09:56:49.683Z
sensor.hapsic_supply_flow,373.888885498047,2026-02-17T09:56:57.795Z
sensor.hapsic_supply_flow,373.333343505859,2026-02-17T09:57:02.789Z
sensor.hapsic_supply_flow,372.666656494141,2026-02-17T09:57:07.795Z
sensor.hapsic_room_average_rh,46.21,2026-02-17T09:57:09.810Z
sensor.hapsic_supply_flow,373.166656494141,2026-02-17T09:57:12.804Z
sensor.hapsic_supply_flow,374.033325195312,2026-02-17T09:57:17.791Z
sensor.hapsic_room_average_rh,46.22,2026-02-17T09:57:19.670Z
sensor.hapsic_supply_flow,375.033325195312,2026-02-17T09:57:22.792Z
sensor.hapsic_room_dew_point,46.86,2026-02-17T09:57:24.668Z
sensor.hapsic_supply_flow,374.699981689453,2026-02-17T09:57:27.804Z
sensor.hapsic_supply_flow,374.666656494141,2026-02-17T09:57:32.806Z
sensor.hapsic_room_average_rh,46.23,2026-02-17T09:57:34.669Z
sensor.hapsic_room_average_rh,46.22,2026-02-17T09:57:39.672Z
sensor.hapsic_room_dew_point,46.85,2026-02-17T09:57:39.672Z
sensor.hapsic_supply_flow,373.833343505859,2026-02-17T09:57:42.810Z
sensor.hapsic_room_average_rh,46.21,2026-02-17T09:57:44.723Z
sensor.hapsic_supply_flow,373.333343505859,2026-02-17T09:57:47.806Z
sensor.hapsic_supply_flow,373.0,2026-02-17T09:57:52.816Z
sensor.hapsic_room_average_rh,46.2,2026-02-17T09:57:54.686Z
sensor.hapsic_room_dew_point,46.84,2026-02-17T09:57:54.687Z
sensor.hapsic_supply_flow,373.333343505859,2026-02-17T09:57:57.838Z
sensor.hapsic_supply_flow,373.5,2026-02-17T09:58:02.818Z
sensor.hapsic_room_average_rh,46.19,2026-02-17T09:58:04.668Z
sensor.hapsic_supply_flow,373.333343505859,2026-02-17T09:58:07.824Z
sensor.hapsic_room_average_rh,46.2,2026-02-17T09:58:09.667Z
sensor.hapsic_supply_flow,373.666656494141,2026-02-17T09:58:12.832Z
sensor.hapsic_supply_flow,374.111114501953,2026-02-17T09:58:17.834Z
sensor.hapsic_room_average_rh,46.21,2026-02-17T09:58:19.667Z
sensor.hapsic_supply_flow,374.444458007812,2026-02-17T09:58:22.836Z
sensor.hapsic_supply_flow,374.111114501953,2026-02-17T09:58:32.840Z
sensor.hapsic_room_dew_point,46.85,2026-02-17T09:58:34.689Z
sensor.hapsic_supply_flow,374.333343505859,2026-02-17T09:58:37.841Z
sensor.hapsic_room_average_rh,46.22,2026-02-17T09:58:39.694Z
sensor.hapsic_supply_flow,374.166656494141,2026-02-17T09:58:42.847Z
sensor.hapsic_supply_flow,374.333343505859,2026-02-17T09:58:47.850Z
sensor.hapsic_supply_flow,374.0,2026-02-17T09:58:52.846Z
sensor.hapsic_cleansed_inside_rh,50.0,2026-02-17T09:59:01.092Z
sensor.hapsic_supply_flow,374.333343505859,2026-02-17T09:59:07.872Z
sensor.hapsic_room_average_rh,46.23,2026-02-17T09:59:09.697Z
sensor.hapsic_supply_flow,374.833343505859,2026-02-17T09:59:12.853Z
